Timestamp,Shelby ABB-521 Frequency Delta (dF/dt),Shelby ABB-521 Digital Value 1,Shelby ABB-521 Status Flags,Shelby ABB-521 Frequency
01-Sep-2022 01:32:48.200,-1.09,0.0,8228.0,59.965
01-Sep-2022 01:32:48.233,-0.45,0.0,8228.0,59.95
01-Sep-2022 01:32:48.266,0.32,0.0,8228.0,59.967
01-Sep-2022 01:32:48.300,0.12,0.0,8228.0,59.964
01-Sep-2022 01:32:48.333,0.62,0.0,8228.0,59.964
01-Sep-2022 01:32:48.366,-0.51,0.0,8228.0,59.964
01-Sep-2022 01:32:48.400,-0.44,0.0,8228.0,59.968
01-Sep-2022 01:32:48.433,0.23,0.0,8228.0,59.959
01-Sep-2022 01:32:48.466,-0.22,0.0,8228.0,59.965
01-Sep-2022 01:32:48.500,0.25,0.0,8228.0,59.96
01-Sep-2022 01:32:48.533,-0.51,0.0,8228.0,59.964
01-Sep-2022 01:32:48.566,0.37,0.0,8228.0,59.96
01-Sep-2022 01:32:48.600,-0.03,0.0,8228.0,59.969
01-Sep-2022 01:32:48.633,-0.53,0.0,8228.0,59.961
01-Sep-2022 01:32:48.666,0.27,0.0,8228.0,59.958
01-Sep-2022 01:32:48.700,-0.85,0.0,8228.0,59.959
01-Sep-2022 01:32:48.733,0.17,0.0,8228.0,59.967
01-Sep-2022 01:32:48.766,-0.21,0.0,8228.0,59.964
01-Sep-2022 01:32:48.800,0.38,0.0,8228.0,59.965
01-Sep-2022 01:32:48.833,-0.65,0.0,8228.0,59.965
01-Sep-2022 01:32:48.866,-0.23,0.0,8228.0,59.957
01-Sep-2022 01:32:48.900,-0.65,0.0,8228.0,59.966
01-Sep-2022 01:32:48.933,-0.37,0.0,8228.0,59.964
01-Sep-2022 01:32:48.966,-1.01,0.0,8228.0,59.962
01-Sep-2022 01:32:49.000,0.17,0.0,8228.0,59.966
01-Sep-2022 01:32:49.033,-0.45,0.0,8228.0,59.959
01-Sep-2022 01:32:49.066,-0.22,0.0,8228.0,59.972
01-Sep-2022 01:32:49.100,0.51,0.0,8228.0,59.963
01-Sep-2022 01:32:49.133,-0.32,0.0,8228.0,59.964
01-Sep-2022 01:32:49.166,0.0,0.0,8228.0,59.964
